Timestamp,INDI_Outer.disturbance,INDI_Outer.disturbance_f,INDI_Outer.disturbance_a
23177,0.0,0.0,0.0
23197,0.0,0.0,0.0
23217,0.0,0.0,0.0
23237,0.0,0.0,0.0
23257,0.0,0.0,0.0
23277,0.0,0.0,0.0
23297,0.0,0.0,0.0
23317,0.0,0.0,0.0
23337,0.0,0.0,0.0
23357,0.0,0.0,0.0
23377,0.0,0.0,0.0
23397,0.0,0.0,0.0
23417,0.0,0.0,0.0
23437,0.0,0.0,0.0
23457,0.0,0.0,0.0
23477,0.0,0.0,0.0
23497,0.0,0.0,0.0
23517,0.0,0.0,0.0
23537,0.0,0.0,0.0
23557,0.0,0.0,0.0
23577,0.0,0.0,0.0
23597,0.0,0.0,0.0
23617,0.0,0.0,0.0
23637,0.0,0.0,0.0
23657,0.0,0.0,0.0
23677,0.0,0.0,0.0
23697,0.0,0.0,0.0
23717,0.0,0.0,0.0
23737,0.0,0.0,0.0
23757,0.0,0.0,0.0
23777,0.0,0.0,0.0
23797,0.0,0.0,0.0
23817,0.0,0.0,0.0
23837,0.0,0.0,0.0
23857,0.0,0.0,0.0
23877,0.0,0.0,0.0
23897,0.0,0.0,0.0
23917,0.0,0.0,0.0
23937,0.0,0.0,0.0
23957,0.0,0.0,0.0
23977,0.0,0.0,0.0
23997,0.0,0.0,0.0
24017,0.0,0.0,0.0
24037,0.0,0.0,0.0
24057,0.0,0.0,0.0
24077,0.0,0.0,0.0
24097,0.0,0.0,0.0
24117,0.0,0.0,0.0
24137,0.0,0.0,0.0
24157,0.0,0.0,0.0
24177,0.0,0.0,0.0
24197,0.0,0.0,0.0
24217,0.0,0.0,0.0
24237,0.0,0.0,0.0
24257,0.0,0.0,0.0
24277,0.0,0.0,0.0
24297,0.0,0.0,0.0
24317,0.0,0.0,0.0
24337,0.0,0.0,0.0
24357,0.0,0.0,0.0
24377,0.0,0.0,0.0
24397,0.0,0.0,0.0
24417,0.0,0.0,0.0
24437,0.0,0.0,0.0
24457,0.0,0.0,0.0
24477,0.0,0.0,0.0
24497,0.0,0.0,0.0
24517,0.0,0.0,0.0
24537,0.0,0.0,0.0
24557,0.0,0.0,0.0
24577,0.0,0.0,0.0
24597,0.0,0.0,0.0
24617,0.0,0.0,0.0
24637,0.0,0.0,0.0
24657,0.0,0.0,0.0
24677,0.0,0.0,0.0
24697,0.0,0.0,0.0
24717,0.0,0.0,0.0
24737,0.0,0.0,0.0
24757,0.0,0.0,0.0
24777,0.0,0.0,0.0
24797,0.0,0.0,0.0
24817,0.0,0.0,0.0
24837,0.0,0.0,0.0
24857,0.0,0.0,0.0
24877,0.0,0.0,0.0
24897,0.0,0.0,0.0
24917,0.0,0.0,0.0
